اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
دوقرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,دوقرة,32.1393,36.0354
دوّار المعارف,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دوّار المعارف,31.9900,35.8448
دوّار عبدون,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن زهران,دوّار عبدون,31.9488,35.8925
دير غبار,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,دير غبار,31.9350,35.8750
ذهيبة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,ذهيبة,32.0501,35.9025
راس العين,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,راس العين,31.9420,35.9220
رجم الشرائرة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,رجم الشرائرة,32.0000,35.8333
رجم المضمار,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,رجم المضمار,32.0667,35.8333
رغدان,لواء قصبة عمان,مديرية شرطة شمال عمان,مركز أمن الهاشمي,رغدان,31.9780,35.9561
زبدا,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,زبدا,31.9639,35.7645
زبدة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,زبدة,31.9453,35.7543
زبدة السويسة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,زبدة السويسة,31.9582,35.7603
زبود,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,زبود,31.8573,35.7572
زويرة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,زويرة,31.7000,35.9167
ساحة باريس,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المدينة,ساحة باريس,31.9558,35.9279
سحاب,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,سحاب,31.8850,36.0050
سد ناعور,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,سد ناعور,31.8680,35.7750
سوميا,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,سوميا,32.1625,35.7828
سيل حسبان,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,سيل حسبان,31.8537,35.7849
شفا بدران,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,شفا بدران,32.0410,35.9120
شمسان,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,شمسان,31.9710,35.8760
صافوط,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,صافوط,32.0336,35.8332
صالحية العابد,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن المنارة,صالحية العابد,31.9553,35.9995
صبحية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,صبحية,32.0845,35.7966
صروت,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,صروت,32.1464,35.9592
صلخد,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,صلخد,31.9403,35.7595
صويفية,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,صويفية,31.9510,35.8610
صويلح,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,صويلح,32.0165,35.8480
ضاحية الأقصى,لواء ماركا,مديرية شرطة شمال عمان,مركز أمن طارق,ضاحية الأقصى,31.9920,35.9410
